EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
281517.400,710681.700,710821.200,711278.500,710987.700,710987.800,711381.900,711191.600,0.000
281434.200,710653.000,710792.600,711250.000,710959.300,710958.900,711353.100,711163.100,0.000
281375.100,710625.600,710764.600,711222.400,710931.300,710931.300,711325.400,711135.400,0.000
281371.900,710604.100,710742.900,711200.200,710909.300,710909.900,711303.700,711113.800,0.000
281381.000,710584.600,710723.200,711180.800,710889.800,710890.200,711283.900,711094.300,0.000
281343.900,710559.900,710698.700,711156.800,710865.500,710865.800,711259.300,711069.800,0.000
281267.600,710536.500,710675.400,711133.400,710842.000,710842.400,711235.900,711046.200,0.000
281215.700,710513.900,710652.800,711110.600,710819.300,710819.600,711213.500,711023.900,0.000
281216.400,710494.800,710633.600,711091.600,710800.400,710800.600,711194.400,711004.600,0.000
281224.900,710475.100,710614.200,711072.100,710780.700,710780.900,711174.400,710985.100,0.000
281188.600,710455.700,710594.600,711052.600,710761.000,710761.400,711154.900,710965.500,0.000
281107.000,710432.700,710571.400,711029.500,710737.900,710738.500,711131.900,710942.300,0.000
281042.400,710410.300,710549.400,711007.300,710716.100,710716.500,711110.100,710920.100,0.000
281042.100,710393.600,710532.800,710990.600,710699.500,710700.100,711093.300,710903.500,0.000
281050.500,710380.100,710518.800,710976.400,710685.800,710685.800,711078.900,710889.500,0.000
281007.400,710359.400,710498.100,710955.800,710664.700,710665.100,711058.600,710868.800,0.000
280928.200,710336.300,710475.700,710933.400,710641.900,710642.800,711036.400,710846.600,0.000
280874.800,710316.900,710456.100,710914.300,710622.600,710623.500,711016.700,710827.400,0.000
280877.900,710303.600,710442.900,710900.800,710609.000,710609.800,711003.100,710813.600,0.000
280886.700,710290.400,710429.500,710887.300,710595.800,710596.300,710989.700,710800.200,0.000
280844.600,710272.900,710411.400,710869.400,710578.000,710578.400,710972.100,710782.800,0.000
280770.400,710252.200,710390.900,710848.700,710557.600,710557.900,710951.200,710762.400,0.000
280722.200,710236.600,710375.900,710833.400,710542.300,710542.300,710936.000,710747.000,0.000
